rank,State,Cases_Feb_29,Cases_Mar_17,Cases_Mar_31,Cases_Apr_19,Cases_May_02,Population,Density,White_Race,Black_Or_African_Race,Other_Race,Asian_Race,Two_Or_More_Race,Native_American_Race,Native_Hawaiian_Race,State_Area,Cases_Per_Sq_Mile_Feb_29,Cases_Per_Sq_Mile_Mar_17,Cases_Per_Sq_Mile_Mar_31,Cases_Per_Sq_Mile_Apr_19,Cases_Per_Sq_Mile_May_02,Employed_People,UnEmployed_People,Mean_Temp_Feb,Mean_Temp_Mar,Mean_Temp_Apr,Median_Age,Air_Pollution,Asthma,Diabetes,Six_Plus_Teeth_Extractions,High_Blood_Pressure,Multiple_Chronic_Conditions_Seniors,Heart_Disease,Heart_Attack,Stroke,High_Cholesterol
9,North Carolina,0,42,1528,6589,11579,10611862,218.2702,7308389.359,2277305.585,321539.4186,295009.7636,274847.2258,126281.1578,7428.3034,53819,0,0.170336654,6.19700971,26.72257656,46.96019335,4884000,5727862,44,51,59.5,38.6,5.8,838337.098,1326482.75,2472563.85,3682316.11,4000671.97,604876.134,573040.548,403250.756,3767211.01
48,North Dakota,0,5,126,585,1153,761723,11.0393,663536.9053,20718.8656,7617.23,10968.8112,18509.8689,39990.4575,380.8615,70698,0,0.000780736,0.019674557,0.091346155,0.180037807,394000,367723,18,29.5,44,35.1,7,38847.873,71601.962,121875.68,224708.285,249845.144,32754.089,35800.981,19804.798,236895.853
7,Ohio,0,67,2199,11602,19335,11747694,287.5038,9575545.379,1450840.209,110428.3236,252575.421,330110.2014,23495.388,3524.3082,44826,0,0.429722808,14.10388739,74.41259732,124.0103059,5564000,6183694,32,42,52,39.3,7.9,1151274.01,1433218.67,2666726.54,4076449.82,4675582.21,587384.7,646123.17,434664.678,3923729.8
28,Oklahoma,0,18,566,2599,3851,3954821,57.6547,2864476.85,290679.3435,107571.1312,84237.6873,306103.1454,297402.5392,4350.3031,69899,0,0.014846916,0.466853034,2.143729743,3.176415252,1781000,2173821,44,52,61,36.4,9,379662.816,494352.625,953111.861,1490967.52,1574018.76,229379.618,221469.976,166102.482,1463283.77
27,Oregon,1,66,690,1910,2635,4301089,44.8086,3630979.334,82150.7999,133763.8679,184086.6092,203871.6186,49462.5235,16774.2471,98379,0.000455469,0.030060964,0.314273717,0.869946086,1.200161223,2025000,2276089,43.5,46.5,50.5,39.2,7.7,292474.052,473119.79,744088.397,1294627.79,1161294.03,215054.45,189247.916,163441.382,1380649.57
5,Pennsylvania,0,101,4997,32734,50915,12820878,286.5449,10365679.86,1426963.721,258981.7356,429499.413,311547.3354,24359.6682,3846.2634,46054,0,0.628415228,31.09099894,203.6687531,316.7897161,6208000,6612878,36,43.5,54,40.7,7.6,1205162.53,1448759.21,2487250.33,4179606.23,5192455.59,628223.022,602581.266,500014.242,4230889.74
45,Rhode Island,0,23,488,4706,9289,1056161,1021.4323,854117.4007,69178.5455,58088.855,35698.2418,32740.991,5492.0372,844.9288,1545,0,15.20578828,322.6271601,3111.236507,6141.155103,536000,520161,32,39,49.5,39.9,5.4,99279.134,115121.549,157367.989,349589.291,427745.205,41190.279,54920.372,32740.991,348533.13
23,South Carolina,0,47,1083,4377,6489,5210095,173.3174,3503788.888,1408288.679,82840.5105,79193.444,115664.109,17714.323,3126.057,32020,0,0.254400931,5.862046977,23.69176327,35.12356679,2308000,2902095,52,58.5,64.5,39.2,9.7,593950.83,692942.635,1359834.8,1985046.2,1943365.44,255294.655,276135.035,208403.8,1912104.87
47,South Dakota,0,11,108,1542,2588,903027,11.9116,762786.9069,16976.9076,6953.3079,13184.1942,24110.8209,78743.9544,270.9081,77116,0,0.001699097,0.016682048,0.238182572,0.399751294,449000,454027,16,29,44.5,36.8,7.4,53278.593,83981.511,150805.509,278132.316,272714.154,39733.188,46054.377,24381.729,266392.965
16,Tennessee,0,73,2049,6762,12661,6897576,167.2748,5357347.279,1158792.768,93807.0336,117258.792,147608.1264,18623.4552,4138.5456,42144,0,0.289746118,8.132736931,26.83922261,50.25309042,3232000,3665576,45.5,54,63,38.7,7.7,351776.376,951865.488,1710598.85,2669361.91,2703849.79,393161.832,448342.44,372469.104,2517615.24
2,Texas,11,106,3576,18923,31142,29472295,112.8204,21900862.41,3557306.007,1691709.733,1382250.636,772174.129,144414.2455,23577.836,296597,0.004184211,0.040320578,1.360248925,7.197983895,11.84588144,13552000,15920295,55,61.5,69.5,34.4,8.3,1797810,3713509.17,4656622.61,9578495.88,11818390.3,1119947.21,1444142.46,1090474.92,9725857.35
30,Utah,1,51,887,3069,4981,3282115,39.943,2836731.995,38728.957,170341.7685,75160.4335,96822.3925,35118.6305,29210.8235,84897,0.000470488,0.023994876,0.41732265,1.443926959,2.34349957,1566000,1716115,37.5,45.5,52,30.7,8.6,180516.325,275697.66,370878.995,804118.175,909145.855,78770.76,91899.22,85334.99,938684.89
51,Vermont,0,14,293,812,886,628061,68.1416,592449.9413,8101.9869,2449.4379,10614.2309,12121.5773,2135.4074,188.4183,9616,0,0.09920782,2.076277953,5.754053577,6.27843777,334000,294061,22,31,45,42.9,7.2,57781.612,57781.612,104886.187,190930.544,163923.921,22610.196,27006.623,16957.647,190930.544
12,Virginia,0,67,1250,8537,17731,8626207,218.4403,5867546.001,1653643.882,213929.9336,545176.2824,317444.4176,23290.7589,6038.3449,42775,0,0.342150791,6.383410286,43.59613889,90.54739823,4289000,4337207,41,48.5,58,38.1,5.2,508946.213,905751.735,1535464.85,2794891.07,3070929.69,327795.866,362300.694,276038.624,2993293.83
13,Washington,10,908,5292,11802,15512,7797095,117.3272,5928131.329,288492.515,332935.9565,649498.0135,445214.1245,101362.235,51460.827,71298,0.016455889,1.494194754,8.708456652,19.42124063,25.52637558,3748000,4049095,43.5,46.5,50,37.6,6.8,561390.84,771912.405,1037013.64,2300143.03,2214374.98,296289.61,296289.61,233912.85,2479476.21
40,West Virginia,0,1,162,863,1184,1778070,73.9691,1656805.626,64899.555,7112.28,14046.753,31294.032,3556.14,355.614,24230,0,0.00305279,0.494551969,2.634557709,3.614503277,758000,1020070,39,45.5,56,42.4,7.8,128021.04,288047.34,624102.57,773460.45,761013.96,147579.81,152914.02,85347.36,705893.79
20,Wisconsin,1,72,1351,4346,7660,5851754,108.0497,5008516.249,373341.9052,117620.2554,161508.4104,137516.219,50910.2598,1755.5262,65496,0.001649714,0.118779443,2.228764271,7.169659158,12.63681297,3001000,2850754,26,35,45.5,39.3,8,456436.812,509102.598,988946.426,1802340.23,1919375.31,222366.652,210663.144,140442.096,2018855.13
52,Wyoming,0,15,120,422,579,567025,5.84,518487.66,5386.7375,9129.1025,4649.605,15196.27,13722.005,510.3225,97813,0,0.000895586,0.007164692,0.025195833,0.034569638,282000,285025,29.5,35.5,43,37.3,5,54434.4,49331.175,104332.6,174643.7,129848.725,20979.925,24382.075,18711.825,174643.7
